title,text,label
 crise e tao grande que nem tiozao do pave fez piada na noite de natal,a familia guimaraes passou a noite de natal perplexa.  genival o tiozao do pave deles desde 1985 nao fez a tradicional piada quando as sobremesas da ceia chegaram.  dispensou a piada e o pave.  limitouse a se servir de pudim de leite e sentar no sofa mudo.  tambem nao contou piadas sexistas e passou a noite sem qualquer trocadilho idiota. e a crise.  servidor publico estadual genival esta sem receber.  teve que vender seu chevette 89 e nao conseguiu comprar presentes para nenhum dos sobrinhos.  a noite de natal sem a piada do pave ou pacume nao e a mesma diz rafael pereira 21 anos um de seus sobrinhos.  esperamos que ano que vem as coisas melhores e ele volte a fazer essa piada tao idiota porque noite de natal sem piada do pave e pior do que sem rabanada. ,satire
 nao me representam diz jesus sobre intolerantes que apedrejaram crianca que saia do candomble,uma menina de 11 anos apedrejada ao sair de uma festa de candomble no ultimo domingo no rio de janeiro fez a sociedade parar e refletir sobre a intolerancia. apedrejada por homens que gritaram vai queimar no inferno a menina hoje diz ter medo de morrer. mas nao foram apenas comentaristas deste mundo que se manifestaram nas ultimas horas.  jesus cristo em pessoa emitiu um comunicado por meio de sua assessoria de imprensa. essas pessoas nao me representam disse o filho do homem.  nunca vi na vida nem depois de morto nem depois de ressuscitado.  se falam em queimar no inferno devem ter aprendido isso em outro lugar.  se eles tivessem alguma coisa a ver comigo eu diria que as chances deles proprios irem para o inferno e que seriam muito grandes.  ,satire
 marina silva e heloisa helena montam novo partido o partido esquerdista da republica unida p. e. r. u,insatisfeitas com seus partidos com as siglas dos partidos com os politicos com as tardes ensolaradas com os dias chuvosos com a lei da gravidade marina silva e heloisa helena resolveram se unir ate ficarem tambem insatisfeitas uma com a outra e montar um novo partido o partido esquerdista da republica unida. segundo heloisa helena ja que elas nao se unem a ninguem em nenhum sentido e importante que o povo se una para mudar o brasil.  ela disse que o p. e. r. u.  e o que todo mundo precisa e ele pode provocar uma grande mudanca.  para isto as pessoas tem que estar abertas e prontas para suportar as dores que podem causar uma ruptura com a ordem tradicional. vinicius antunes,satire
 dez propostas que podem realmente mudar o brasil,o instituto nupal nucleo de pesquisas da america latina fez uma pesquisa que mostrou ideias que podem mudar o brasil de verdade.  eis as propostas1 diminuicao do numero de zeros nos boletos. 2 proibicao de ouvir funk alto dentro de onibus e outros coletivos. 3 multa para piadas do pave. 4 multa para marcacao de fotos constrangedoras no facebook. 5 multa para posts com fotos de por do sol e mensagens de autoajuda em redes sociais. 6 banimento das palavras e expressoes sinergia agregar valor quebra de paradigma e afins da lingua portuguesa. 7 instalacao de bloqueadores de sinal de celular em salas de cinema e teatro. 8 saida de claudia leitte no the voice. 9 cassacao de alvara de estabelecimentos que tenham wifi mas nao saibam a senha 10 retirada do ar de qualquer site que publique manchetes como fulana e vista tomando sorvete no shopping. atentendo a um abaixo assinado dos leitores uma ultima proposta 11 isencao de impostos para nutella e pacoquita. ,satire
 apresentadora do cidade alerta bahia dara curso de como ser otimista e feliz,assassinatos sequestros mortes violentas.  nenhuma noticia parece abalar a apresentadora do cidade alerta da bahia mariana sena.  ao fim de cada noticiario capaz de abalar as mentes mais equilibradas do planeta ela sempre sorri e diz que esta se sentindo otima.  ponto para mariana que no mes que vem estara a frente de cursos e workshops sobre como ser feliz apesar de tudo. produtor dos eventos que convidou mariana para dar os cursos paulo santiago acredita que mariana e um ser iluminado que pode mudar o mundo.  quem esta feliz como ela nao assalta nao mata e nao cria treta no facebook afirma.  se todos aprenderem com mariana o mundo sera lindo e a paz mundial finalmente alcancada. um grupo de cientistas internacionais quer levar mariana para os estados unidos para estudar sua mente. veja o video e seja felizquando vc nao se abala mais com os problemas pic. twitter. comqw7fitlb5e inacio inaacio 18 de outubro de 2017,satire
 onu aponta brasil como pioneiro no combate ao futuro,no dia do trabalhador uma noticia especial para os brasileiros a organizacao das nacoes unidas onu divulgou uma nota com uma lista de paises que vem se notabilizando pelo combate ao futuro.  o brasil esta em primeiro lugar.  ate a semana passada estava em terceiro.  mas depois das bombas que feriram professores esta semana pulamos automaticamente para o topo do ranking. nenhum pais desvaloriza e agride professores como o brasil.  e professores sao muito importantes para o futuro de pais.  ponto para o brasil diz holand smidt coordenador da lista na onu. com pauta de dino cantelli,satire
 se quem pergunta por que o povo nao esta na rua fosse para a rua elas estariam cheias diz especialista,por que o povo nao esta nas ruas como e que depois de tudo que vem acontecendo esta todo mundo tocando sua vida normalmente o que ha com os brasileiros que nao se manifestam contra tudo o que esta ai. todos os dias no facebook no twitter no instagram nos grupos de whatsapp em artigos de jornais nos bares nos escritorios nos elevadores e nos transportes coletivos escutamos este tipo de pergunta.  afinal o que pode mudar esse estado de coisasse todas as pessoas que perguntam por que o povo nao vai para as ruas fossem para as ruas elas estariam lotadas afirma o analista politico jose dias massarane da universidade publica que ainda funciona mas nao se sabe ate quando. massarane depois de muitas analises e muitas contas concluiu que as ruas estao vazias porque as pessoas acham que o povo sao os outros nunca elas mesmas.  sugiro que todo mundo va para as ruas perguntar.  se todos fizerem isso nao sera mais necessario responder. ,satire
 iemanja revela que nao tem mais onde guardar barquinhos e pede criatividade dos devotos,iemanja esta preocupada com a proximidade do ano novo.  segundo ela nem o oceano inteiro esta sendo suficiente para guardar tantos barquinhos que lhe sao enviados.  ela pediu mais criatividade aos fieis por que nao uma ferrari um iate um helicoptero estao achando que sou ancora pra so viver agarrada em barcooutra reclamacao de iemanja foi a quantidade de flores nao aguento mais ja fiquei ate alergica pode me mandar chocolates que passei 2014 inteiro so a base dagua e estou toda gostosa ja posso fugir um pouquinho da rotina. por cacofonias,satire
 em universidade alunos perseguem professores de matematica usando video policial como justificativa,apos o caso de perseguicao e morte do traficante matematico que vem repercutido muito na televisao e nas redes sociais um grupo de alunos neonazistas da usp aproveitou o discurso de odio contra o criminoso para armados perseguir os professores de matematica da instituicao. os professores se dizem aterrorizados.  um deles falou a nossa equipe nao podemos dar mais aula fui surpreendido por um grupo de alunos que entrou na sala e dizia matematico tem que morrer matematico tem que morrer.  tem um caso de uma amiga que foi obrigada a fazer quadradinho de oito em publico e humilhante mais valeria ter morrido. vinicius antunes,satire
 chefe de milicia vaidoso cria um monumento em sua homenagem,o lider da milicia de rio das pedras alessandro assuncao conhecido como xerife ergueu uma estatua em sua homenagem na comunidade e festejou com musica distribuicao de bolo e inclusive decretou um feriado particular impedindo que os moradores da regiao fossem trabalhar. hoje 29 de janeiro e aniversario de xerife e segundo os moradores e ele que mantem a ordem e a paz na comunidade.  com slogan digno de supermercado xerife espalhou faixas pela comunidade que diziam e o xerife que faz aniversario mas quem ganha o presente e voce. a estatua e a nova polemica do rio de janeiro visto que o governo declarou que ela nao tem autorizacao para estar na comunidade e sera derrubada.  xerife falou que so permitira a retirada da estatua de rio das pedras se a colocarem no corcovado abracada ao cristo redentor. vinicius antunes,satire
 lula e visto comprando mascara de eduardo cunha para usar no stf para ver se me liberam,o expresidente lula foi visto hoje comprando uma mascara do presidente da camara eduardo cunha para usar quando for investigado pelo stf.  ele afirmou que usara a mascara para ser confundido com cunha e nao ser incomodado pelo supremo. o que nao faltam sao evidencias para que se abra uma investigacao contra o eduardo.  mas ate agora nada vi um rapaz usando essa mascara do cunha em um protesto a meu favor e tomei dele disse lula. o expresidente tambem disse que se nao conseguir se safar da justica mesmo tentando ser ministro e agora se disfarcando de cunha vai se tornar bispo catolico para ter seus crimes acobertados pelo vaticano. leia tambem stf diz que eduardo cunha sera julgado assim que rio doce estiver recuperado,satire
 guilherme fontes fara documentario sobre cassacao de cunha,depois de finalmente concluir chato o rei do brasil o ator e diretor guilherme fontes ja tem um novo projeto em mente.  ele comecou a reunir profissionais para acompanhar o processo de cassacao do ainda presidente da camara dos deputados eduardo cunha. o processo de cunha ja dura quatro meses e nao avanca.  a organizacao mundial de medidas ja esta analisando criar uma metrica para isso.  assim alem da velocidade da luz que indica rapidez haveria tambem a velocidade cassacao de cunha que serviria para designar coisas muito lentas.  um relogio da esteira ergometrica por exemplo andaria na velocidade cassacao de cunha.  de acordo com fontes com trocadilho envolvidas na producao o filme deve estrear por volta de 3045 apenas um ano depois que o processo de cunha terminar. ,satire
 aecio se solidariza com miss colombia sei como e ganhar por pouco tempo,o senador aecio neves que namorou a miss brasil natalia guimaraes usou as redes sociais hoje para demonstrar apoio a miss colombia que foi vitima de uma trapalhada do apresentador do miss universo e ficou com a coroa por meros dois minutos. eu sei como e ganhar por pouco tempo assim escreveu aecio.  isso e um absurdo e ja estou tomando as medidas cabiveis para instaurar uma cpi com objetivo de investigar o envolvimento do apresentador do miss universo na apuracao das eleicoes brasileiras de 2014 continuou. a exemplo do que fizeram no ano passado aecio e outros senadores da oposicao organizam uma viagem de aviao para apurar o caso.  da outra vez foram a venezuela mas agora irao ate a colombia para consolar todas as misses do pais.  e o nosso papel de democrata zelar pela ordem na america latina.  pobres garotas precisam de apoio nesse momento de fragilidade.  e nao descartamos uma alianca com o pmdb para tentar o impeachment da miss filipinas. ,satire
 esse ano passou voando foi frase mais falada em novembro aponta estudo,o nucleo de pesquisas da america latina nupal entrevistou 372 milhoes de pessoas em territorio brasileiro para chegar a conclusao da frase mais dita em novembro de 2014.  segundo os pesquisadores esse ano passou voando foi a grande vencedora.  em segundo lugar ficou caramba ja tao chegando as olimpiadas e em terceiro lugar quantos feriados teremos em 2015,satire
